"ocupacao_codigo","ocupacao_nome","ocupacao_nivel_superior","Ano","Trimestre","periodo","peso_total_ocupados_ocupacao","registros_total_ocupados_ocupacao","peso_universo_superior_completo_classificado_ocupacao","registros_universo_superior_completo_classificado_ocupacao","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_total_ocupados_ocupacao","percentual_sobreeducados_entre_superior_completo_classificado_ocupacao","peso_sobreeducados_total_periodo","participacao_da_ocupacao_no_total_sobreeducados_periodo","registros_com_ocupacao_e_peso_valido","registros_com_rendimento_habitual","rendimento_habitual_medio_ponderado","registros_com_rendimento_efetivo","rendimento_efetivo_medio_ponderado"
"3359","Agentes da administração pública para aplicação da lei e afins não classificados anteriormente",0,2025,4,"2025-T4",29600.17311918,74,12359.94487502,37,12359.94487502,37,41.7563,100,13434052.8383617,0.092,74,74,6020.12874476213,74,6158.53144388558
"3259","Profissionais de nível médio da saúde não classificados anteriormente",0,2025,4,"2025-T4",40526.26385994,78,12207.70371209,20,12207.70371209,20,30.1229,100,13434052.8383617,0.0909,78,71,3215.7452128532,70,3445.51357987259
"3514","Técnicos da web",0,2025,4,"2025-T4",42574.83231395,54,12206.52898957,11,12206.52898957,11,28.6708,100,13434052.8383617,0.0909,54,54,5631.943061182,54,5981.97794804182
"7511","Magarefes e afins",0,2025,4,"2025-T4",617615.58659525,1254,11679.31891182,40,11679.31891182,40,1.891,100,13434052.8383617,0.0869,1254,1243,2188.79753058329,1224,2356.26431526136
"4412","Trabalhadores de serviços de correios",0,2025,4,"2025-T4",56484.8256046,94,11677.95540447,30,11677.95540447,30,20.6745,100,13434052.8383617,0.0869,94,94,4370.99716257573,94,4637.23067988345
"3353","Agentes de serviços de seguridade social",0,2025,4,"2025-T4",13637.5569365,36,11635.20194432,31,11635.20194432,31,85.3173,100,13434052.8383617,0.0866,36,36,9635.76028022625,35,10194.6500283977
"7111","Construtores de casas",0,2025,4,"2025-T4",53669.86076453,110,11631.33547958,25,11631.33547958,25,21.672,100,13434052.8383617,0.0866,110,110,7306.40422182715,109,7237.84053418824
"4214","Cobradores e afins",0,2025,4,"2025-T4",62271.64374506,111,11563.95608906,19,11563.95608906,19,18.5702,100,13434052.8383617,0.0861,111,111,3262.87841126128,110,3521.12715013223
"7533","Costureiros, bordadeiros e afins",0,2025,4,"2025-T4",148009.24229464,331,11447.59464779,32,11447.59464779,32,7.7344,100,13434052.8383617,0.0852,331,328,1317.94050655284,317,1300.16949318039
"5212","Vendedores ambulantes de serviços de alimentação",0,2025,4,"2025-T4",287290.90202966,673,11394.83227815,23,11394.83227815,23,3.9663,100,13434052.8383617,0.0848,673,646,1720.26100069412,638,1703.08290864943
"5165","Instrutores de autoescola",0,2025,4,"2025-T4",36847.57906636,83,10842.8777547,24,10842.8777547,24,29.4263,100,13434052.8383617,0.0807,83,83,2847.70020239958,83,2931.08477032021
"3117","Técnicos em engenharia de minas e metalurgia",0,2025,4,"2025-T4",78411.9135447,85,10842.58761209,17,10842.58761209,17,13.8277,100,13434052.8383617,0.0807,85,85,3888.82049276213,85,4065.85329337744
"9321","empacotadores manuais",0,2025,4,"2025-T4",220116.4990188,419,10660.30262633,14,10660.30262633,14,4.843,100,13434052.8383617,0.0794,419,409,1963.08290019479,398,2120.35323804213
"5329","Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente",0,2025,4,"2025-T4",46626.24431501,101,10649.2034281,24,10649.2034281,24,22.8395,100,13434052.8383617,0.0793,101,99,2577.20868629204,97,2656.32342182506
"3331","Despachantes aduaneiros",0,2025,4,"2025-T4",21614.10211705,22,10310.74679889,11,10310.74679889,11,47.7038,100,13434052.8383617,0.0768,22,22,4531.72164689817,22,5473.46542590028
"9520","Vendedores ambulantes (exclusive de serviços de alimentação)",0,2025,4,"2025-T4",232626.30546118,466,10309.79099682,29,10309.79099682,29,4.4319,100,13434052.8383617,0.0767,466,462,1608.05352482051,454,1614.48874889008
"8341","Operadores de máquinas agrícolas e florestais móveis",0,2025,4,"2025-T4",356785.94538393,1145,10168.13202303,23,10168.13202303,23,2.8499,100,13434052.8383617,0.0757,1145,1137,2914.04585498378,1120,3143.05113680703
"5132","atendentes de bar",0,2025,4,"2025-T4",189514.40752858,379,10021.60938172,19,10021.60938172,19,5.288,100,13434052.8383617,0.0746,379,316,1790.46663297077,310,1827.45065072936
"4224","Recepcionistas de hotéis",0,2025,4,"2025-T4",66481.02102258,143,9909.42815541,24,9909.42815541,24,14.9056,100,13434052.8383617,0.0738,143,143,2001.41616663041,141,2131.77836704086
"5152","Governantas e mordomos domésticos",0,2025,4,"2025-T4",26783.48629956,55,9870.27335132,16,9870.27335132,16,36.8521,100,13434052.8383617,0.0735,55,54,3442.08548114601,52,3464.58728918126
"5411","Bombeiros",0,2025,4,"2025-T4",56406.03983186,102,9791.58817891,18,9791.58817891,18,17.3591,100,13434052.8383617,0.0729,102,102,3484.36868317176,102,3884.83541502004
"2643","Tradutores, intérpretes e linguistas",0,2025,4,"2025-T4",18194.6059313,45,9636.05981799,25,9636.05981799,25,52.9611,100,13434052.8383617,0.0717,45,44,3832.29363428668,44,4850.97813852432
"8121","Operadores de instalações de processamento de metais",0,2025,4,"2025-T4",119423.42331097,189,9551.83838114,15,9551.83838114,15,7.9983,100,13434052.8383617,0.0711,189,189,2880.19635278368,187,3059.5009524266
"8160","Operadores de máquinas para elaborar alimentos e produtos afins",0,2025,4,"2025-T4",280614.9716415,785,9546.48224798,26,9546.48224798,26,3.402,100,13434052.8383617,0.0711,785,654,1857.3209638901,609,2026.73638489668
"3213","Técnicos e assistentes farmacêuticos",0,2025,4,"2025-T4",63650.32401021,129,9515.42339306,19,9515.42339306,19,14.9495,100,13434052.8383617,0.0708,129,126,2874.11453111916,125,3218.59252958493
"7513","Trabalhadores da pasteurização do leite e fabricação de laticínios e afins",0,2025,4,"2025-T4",83011.09417782,289,9364.69284464,21,9364.69284464,21,11.2813,100,13434052.8383617,0.0697,289,261,2361.30898465481,255,2528.14145331094
"5111","Auxiliares de serviço de bordo",0,2025,4,"2025-T4",16614.62226977,26,9298.6965912,13,9298.6965912,13,55.9669,100,13434052.8383617,0.0692,26,26,6007.34251741156,26,6259.75441375214
"5113","Guias de turismo",0,2025,4,"2025-T4",31441.82875079,65,9190.0158701,17,9190.0158701,17,29.2286,100,13434052.8383617,0.0684,65,64,2873.84715535802,61,3053.56595075079
"9122","Lavadores de veículos",0,2025,4,"2025-T4",314370.46810294,593,9184.06306683,15,9184.06306683,15,2.9214,100,13434052.8383617,0.0684,593,580,1962.09630475252,562,2005.64627234377
"7132","Lustradores",0,2025,4,"2025-T4",183537.68012925,347,8968.98811779,13,8968.98811779,13,4.8867,100,13434052.8383617,0.0668,347,347,2853.91818585136,343,2950.51144283751
"1114","Dirigentes de organizações que apresentam um interesse especial",0,2025,4,"2025-T4",15056.70475556,41,8753.57590905,20,8753.57590905,20,58.1374,100,13434052.8383617,0.0652,41,41,4561.15167997532,41,5209.69719903031
"7515","Trabalhadores da degustação e classificação de alimentos e bebidas",0,2025,4,"2025-T4",33982.74879376,78,8649.32600476,19,8649.32600476,19,25.4521,100,13434052.8383617,0.0644,78,78,3175.89362827332,78,3451.63969146253
"1439","Gerentes de serviços não classificados anteriormente",0,2025,4,"2025-T4",33002.12561812,64,8612.18815108,21,8612.18815108,21,26.0959,100,13434052.8383617,0.0641,64,64,8658.85419874648,62,6702.63725078016
"7126","Bombeiros e encanadores",0,2025,4,"2025-T4",188969.99787337,376,8597.40065949,17,8597.40065949,17,4.5496,100,13434052.8383617,0.064,376,376,2893.90359761433,374,3004.17562993884
"2651","Artistas plásticos",0,2025,4,"2025-T4",23327.57665198,49,8408.69490311,21,8408.69490311,21,36.0462,100,13434052.8383617,0.0626,49,48,2364.45623507565,44,2829.40840021626
"4132","Operadores de entrada de dados",0,2025,4,"2025-T4",20979.13633199,49,8078.91595795,17,8078.91595795,17,38.5093,100,13434052.8383617,0.0601,49,49,1850.97619776219,49,1913.4846307785
"7322","Impressores",0,2025,4,"2025-T4",87909.64062161,158,7876.16010275,17,7876.16010275,17,8.9594,100,13434052.8383617,0.0586,158,158,2995.99307183953,158,2890.17618782321
"9611","Coletores de lixo e material reciclável",0,2025,4,"2025-T4",244886.9887015,588,7859.4110194,18,7859.4110194,18,3.2094,100,13434052.8383617,0.0585,588,586,2271.75651181388,582,2341.38728077345
"9629","Outras ocupações elementares não classificadas anteriormente",0,2025,4,"2025-T4",226522.99181022,620,7813.97539217,22,7813.97539217,22,3.4495,100,13434052.8383617,0.0582,620,616,1440.60099146571,592,1483.40258659209
"9411","Preparadores de comidas rápidas",0,2025,4,"2025-T4",134666.76096534,289,7736.85251207,20,7736.85251207,20,5.7452,100,13434052.8383617,0.0576,289,281,2192.74995168394,277,2227.58019601787
"3214","Técnicos de próteses médicas e dentárias",0,2025,4,"2025-T4",57504.93689127,104,7720.62620738,14,7720.62620738,14,13.426,100,13434052.8383617,0.0575,104,101,3534.5460576956,100,3647.43026417998
"3111","Técnicos em ciências físicas e químicas",0,2025,4,"2025-T4",26496.71271107,53,7544.80649593,18,7544.80649593,18,28.4745,100,13434052.8383617,0.0562,53,53,3970.38629288302,52,4057.40246390338
"6122","Avicultores e trabalhadores qualificados da avicultura",0,2025,4,"2025-T4",121203.3358976,568,7453.14869625,38,7453.14869625,38,6.1493,100,13434052.8383617,0.0555,568,523,3302.89888022316,486,3144.59493588225
"4227","Entrevistadores de pesquisas de mercado",0,2025,4,"2025-T4",13873.74805603,39,7372.18500166,22,7372.18500166,22,53.1377,100,13434052.8383617,0.0549,39,39,3036.23899676834,38,3212.01506293339
"7311","Mecânicos e reparadores de instrumentos de precisão",0,2025,4,"2025-T4",28052.38649732,48,7323.66510531,8,7323.66510531,8,26.1071,100,13434052.8383617,0.0545,48,48,2311.08358680199,47,2403.91321728088
"7314","Ceramistas e afins (preparação e fabricação)",0,2025,4,"2025-T4",75404.30899025,178,7229.08548289,16,7229.08548289,16,9.5871,100,13434052.8383617,0.0538,178,174,1904.52806171276,167,2076.84112167689
"8131","Operadores de instalações e máquinas de produtos químicos",0,2025,4,"2025-T4",79540.22308201,113,7226.05339319,9,7226.05339319,9,9.0848,100,13434052.8383617,0.0538,113,113,2510.22192360444,112,2669.38920276076
"8350","Marinheiros de coberta e afins",0,2025,4,"2025-T4",48622.10191739,165,7097.97402592,13,7097.97402592,13,14.5982,100,13434052.8383617,0.0528,165,164,3942.50348267048,163,4066.95672020757
"4223","Telefonistas",0,2025,4,"2025-T4",29207.56913772,52,7052.6630449,15,7052.6630449,15,24.1467,100,13434052.8383617,0.0525,52,52,2530.12448232646,52,2872.82218400943
"3132","Operadores de incineradores, instalações de tratamento de água e afins",0,2025,4,"2025-T4",24258.86320003,58,6833.62437377,22,6833.62437377,22,28.1696,100,13434052.8383617,0.0509,58,58,4181.96978135489,58,4246.30371617512
"8311","Maquinistas de locomotivas",0,2025,4,"2025-T4",13775.27140718,19,6656.6891104,8,6656.6891104,8,48.3235,100,13434052.8383617,0.0496,19,19,5509.76895790887,19,6523.25731694811
"7421","Mecânicos e reparadores em eletrônica",0,2025,4,"2025-T4",74314.69895254,125,6588.25451191,13,6588.25451191,13,8.8653,100,13434052.8383617,0.049,125,125,2540.97789781137,124,2591.62614557195
"8342","Operadores de máquinas de movimentação de terras e afins",0,2025,4,"2025-T4",285375.63663499,717,6579.38619731,18,6579.38619731,18,2.3055,100,13434052.8383617,0.049,717,717,3156.79669068466,703,3398.99918065676
"2356","Instrutores em tecnologias da informação",0,2025,4,"2025-T4",17037.77093525,41,6577.86247939,16,6577.86247939,16,38.6075,100,13434052.8383617,0.049,41,41,3703.09836074533,41,3730.43163249349
"8212","Montadores de equipamentos elétricos e eletrônicos",0,2025,4,"2025-T4",96438.56816859,171,6510.63486423,11,6510.63486423,11,6.7511,100,13434052.8383617,0.0485,171,171,2544.85940656892,168,2702.03138171384
"2434","Profissionais de vendas de tecnologia da informação e comunicações",0,2025,4,"2025-T4",8100.74816601,11,6500.00266143,7,6500.00266143,7,80.2395,100,13434052.8383617,0.0484,11,11,9375.65512956612,11,9697.42857588026
"8183","Operadores de máquinas de embalagem, engarrafamento e etiquetagem",0,2025,4,"2025-T4",116627.90370278,216,6426.50268564,8,6426.50268564,8,5.5103,100,13434052.8383617,0.0478,216,216,2324.95598815713,214,2454.00523057135
"3152","Capitães, oficiais de coberta e práticos",0,2025,4,"2025-T4",20922.64023143,54,6214.178674,14,6214.178674,14,29.7007,100,13434052.8383617,0.0463,54,54,8272.81640836527,54,8550.61297703234
"7317","Artesãos de pedra, madeira, vime e materiais semelhantes",0,2025,4,"2025-T4",71866.41130044,210,6158.75765463,18,6158.75765463,18,8.5697,100,13434052.8383617,0.0458,210,204,1436.84782197584,195,1435.89364485592
"7222","Ferramenteiros e afins",0,2025,4,"2025-T4",58606.35467923,101,5974.15644425,11,5974.15644425,11,10.1937,100,13434052.8383617,0.0445,101,101,3089.91725239184,101,3262.63805155346
"8142","Operadores de máquinas para fabricar produtos de material plástico",0,2025,4,"2025-T4",161932.83149768,255,5907.01781223,7,5907.01781223,7,3.6478,100,13434052.8383617,0.044,255,255,2298.02841035945,251,2603.60384429787
"7127","Mecânicos-instaladores de sistemas de refrigeração e climatização",0,2025,4,"2025-T4",93279.71901282,187,5854.01217599,11,5854.01217599,11,6.2758,100,13434052.8383617,0.0436,187,187,2648.80419781248,186,2803.78567861685
"3333","Agentes de emprego e agenciadores de mão de obra",0,2025,4,"2025-T4",10712.76363363,19,5838.83671814,9,5838.83671814,9,54.5036,100,13434052.8383617,0.0435,19,19,8061.04947164743,19,8090.5647522869
"7313","Joalheiros e lapidadores de gemas, artesãos de metais preciosos e semipreciosos",0,2025,4,"2025-T4",46056.18993964,68,5615.81261385,10,5615.81261385,10,12.1934,100,13434052.8383617,0.0418,68,67,3595.04525511184,66,3534.0366154743
"8156","Operadores de máquinas para fabricação de calçados e afins",0,2025,4,"2025-T4",103567.46729764,158,5466.35721427,10,5466.35721427,10,5.2781,100,13434052.8383617,0.0407,158,158,2029.37716995552,157,2145.68079377354
"8182","Operadores de máquinas de vapor e caldeiras",0,2025,4,"2025-T4",39886.52506389,86,5275.30811248,9,5275.30811248,9,13.2258,100,13434052.8383617,0.0393,86,86,3102.06463351756,86,3379.64183636002
